MatchType;MatchValue;IDE;Target;Publisher;ExtensionId;DisplayName;LatestVersion;InstallCount;AverageRating;RatingCount;MarketplaceTags;MarketplaceUrl
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;DanielSanMedium;dscodegpt;CodeGPT: Chat & AI Agents;3.14.252;2229466;3,51935482;310;;https://marketplace.visualstudio.com/items?itemName=DanielSanMedium.dscodegpt
Tag;claude;VSCode;Microsoft.VisualStudio.Code;DanielSanMedium;dscodegpt;CodeGPT: Chat & AI Agents;3.14.252;2229450;3,51935482;310;;https://marketplace.visualstudio.com/items?itemName=DanielSanMedium.dscodegpt
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;DanielSanMedium;dscodegpt;CodeGPT: Chat & AI Agents;3.14.252;2229771;3,51935482;310;;https://marketplace.visualstudio.com/items?itemName=DanielSanMedium.dscodegpt
Tag;deepseek;VSCode;Microsoft.VisualStudio.Code;DanielSanMedium;dscodegpt;CodeGPT: Chat & AI Agents;3.14.252;2229006;3,51935482;310;;https://marketplace.visualstudio.com/items?itemName=DanielSanMedium.dscodegpt
Tag;llama;VSCode;Microsoft.VisualStudio.Code;DanielSanMedium;dscodegpt;CodeGPT: Chat & AI Agents;3.14.252;2229099;3,51935482;310;;https://marketplace.visualstudio.com/items?itemName=DanielSanMedium.dscodegpt
Tag;openai;VSCode;Microsoft.VisualStudio.Code;DanielSanMedium;dscodegpt;CodeGPT: Chat & AI Agents;3.14.252;2228737;3,51935482;310;;https://marketplace.visualstudio.com/items?itemName=DanielSanMedium.dscodegpt
Category;AI;VSCode;Microsoft.VisualStudio.Code;DarbotLabs;darbot-browser-mcp;🤖 Darbot Browser MCP;1.2.2;687;;;;https://marketplace.visualstudio.com/items?itemName=DarbotLabs.darbot-browser-mcp
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DarbotLabs;darbot-browser-mcp;🤖 Darbot Browser MCP;1.2.2;687;;;;https://marketplace.visualstudio.com/items?itemName=DarbotLabs.darbot-browser-mcp
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;DarbotLabs;darbot-browser-mcp;🤖 Darbot Browser MCP;1.2.2;686;;;;https://marketplace.visualstudio.com/items?itemName=DarbotLabs.darbot-browser-mcp
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DarbotLabs;power-agent-mcp;Power Agent MCP;1.0.2;477;;;;https://marketplace.visualstudio.com/items?itemName=DarbotLabs.power-agent-mcp
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;DarbotLabs;power-agent-mcp;Power Agent MCP;1.0.2;476;;;;https://marketplace.visualstudio.com/items?itemName=DarbotLabs.power-agent-mcp
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DarkFlows;codersinflow;Coders in Flow;0.0.1765;182;5;2;;https://marketplace.visualstudio.com/items?itemName=DarkFlows.codersinflow
Tag;anthropic;VSCode;Microsoft.VisualStudio.Code;DarkFlows;codersinflow;Coders in Flow;0.0.1765;182;5;2;;https://marketplace.visualstudio.com/items?itemName=DarkFlows.codersinflow
Tag;claude;VSCode;Microsoft.VisualStudio.Code;DarkFlows;codersinflow;Coders in Flow;0.0.1765;182;5;2;;https://marketplace.visualstudio.com/items?itemName=DarkFlows.codersinflow
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;DarkFlows;codersinflow;Coders in Flow;0.0.1765;182;5;2;;https://marketplace.visualstudio.com/items?itemName=DarkFlows.codersinflow
Tag;gemini;VSCode;Microsoft.VisualStudio.Code;DarkFlows;codersinflow;Coders in Flow;0.0.1765;182;5;2;;https://marketplace.visualstudio.com/items?itemName=DarkFlows.codersinflow
Tag;openai;VSCode;Microsoft.VisualStudio.Code;DarkFlows;codersinflow;Coders in Flow;0.0.1765;182;5;2;;https://marketplace.visualstudio.com/items?itemName=DarkFlows.codersinflow
Category;AI;VSCode;Microsoft.VisualStudio.Code;DaryoushAlipourtirotir;chatgpt-ai-programming-assistant;ChatGPT: AI Programming Assistant;1.2.0;708;;;;https://marketplace.visualstudio.com/items?itemName=DaryoushAlipourtirotir.chatgpt-ai-programming-assistant
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DataStax;langstream;LangStream AI;0.3.1;369;;;;https://marketplace.visualstudio.com/items?itemName=DataStax.langstream
